network_name,type,direction,freq_start_mhz,freq_end_mhz,note
THAIIOT (NGSO),,,145.8,146.0,
KNACKSAT-2 (NGSO),,,145.81875,145.83125,
KNACKSAT-2 (NGSO),,,145.81875,145.83125,
BCCSAT-1 (NGSO),,,145.8675,145.8925,
JAISAT-1 (NGSO),,,145.935,145.965,
LOGSATS (NGSO),,,148.0,149.9,
NAPA-2 (NGSO),,,148.01975,148.04275,
RTAFSAT (NGSO),,,148.02,148.043,
NAPA-2 (NGSO),,,148.06975,148.09275,
RTAFSAT (NGSO),,,148.07,148.09275,
RTAFSAT (NGSO),,,148.09475,148.11775,
NAPA-2 (NGSO),,,148.09475,148.11775,
RTAFSAT (NGSO),,,148.3885,148.411,
RTAFSAT (NGSO),,,148.413,148.436,
RTAFSAT (NGSO),,,148.439,148.462,
RTAFSAT (NGSO),,,148.5135,148.536,
RTAFSAT (NGSO),,,148.538,148.561,
RTAFSAT (NGSO),,,148.5635,148.5865,
RTAFSAT (NGSO),,,148.663,148.686,
NAPA-2 (NGSO),,,148.663,148.686,
RTAFSAT (NGSO),,,148.6885,148.7115,
NAPA-2 (NGSO),,,148.6885,148.7115,
RTAFSAT (NGSO),,,148.7135,148.736,
NAPA-2 (NGSO),,,148.7135,148.736,
TSC-P (NGSO),,,149.249,149.251,
THEOS2-SMALLSAT (NGSO),,,156.7625,156.7875,
THEOS2-SMALLSAT (NGSO),,,156.8125,156.8375,
THEOS2-SMALLSAT (NGSO),,,161.9625,161.9875,
THEOS2-SMALLSAT (NGSO),,,162.0125,162.0375,
LOGSATS (NGSO),,,400.15,402.0,
LOGSATS (NGSO),,,400.15,402.0,
TSC-P (NGSO),,,400.548,400.552,
NARITCUBE-1 (NGSO),,,400.4437,400.4562,
KNACKSAT-2 (NGSO),,,400.62375,400.63625,
RTAFSAT (NGSO),,,401.0,402.0,
NAPA-2 (NGSO),,,401.0,402.0,
LOGSATS (NGSO),,,401.0,403.0,
NARITCUBE-1 (NGSO),,,401.4437,401.4562,
KNACKSAT-2 (NGSO),,,401.65375,401.66625,
THAIIOT (NGSO),,,435.0,438.0,
THAIIOT (NGSO),,,435.0,438.0,
JAISAT-1 (NGSO),,,435.315,435.335,
JAISAT-1 (NGSO),,,435.324,435.326,
BCCSAT-1 (NGSO),,,435.6225,435.6475,
BCCSAT-1 (NGSO),,,435.6225,435.6475,
JAISAT-1 (NGSO),,,435.935,435.965,
JAISAT-1 (NGSO),,,437.315,437.335,
LOGSATS (NGSO),,,1087.7,1092.3,
THEOS2-SMALLSAT (NGSO),,,1088.7,1091.3,
THAISAT-78.5E (78.5E),,,1467.0,1492.0,
THAISAT-142E (142E),,,1467.0,1492.0,
THAICOM-51E (51E),,,1467.5,1491.5,
THAISAT-78.5E (78.5E),,,1518.0,1559.0,
THAISAT-119.5E (119.5E),,,1518.0,1559.0,
THAICOM-51E (51E),,,1518.0,1559.0,
THAISAT-142E (142E),,,1518.0,1559.0,
THAISAT-78.5E (78.5E),,,1610.0,1660.5,
THAISAT-119.5E (119.5E),,,1610.0,1660.5,
THAICOM-51E (51E),,,1610.0,1660.5,
THAISAT-142E (142E),,,1610.0,1660.5,
THAICOM-51E (51E),,,1660.5,1660.5,
THAISAT-78.5E (78.5E),,,1668.0,1675.0,
THAISAT-119.5E (119.5E),,,1668.0,1675.0,
THAISAT-142E (142E),,,1668.0,1675.0,
THAISAT-78.5E (78.5E),,,1980.0,2010.0,
THAISAT-119.5E (119.5E),,,1980.0,2010.0,
THAICOM-51E (51E),,,1980.0,2010.0,
THAISAT-142E (142E),,,1980.0,2010.0,
THEOS (NGSO),,,2035.9585,2035.9665,
THEOS2-SMALLSAT (NGSO),,,2059.915,2060.085,
THEOS2-SMALLSAT (NGSO),,,2060.915,2061.085,
THEOS2 (NGSO),,,2066.5,2066.62,
THAISAT-78.5E (78.5E),,,2170.0,2200.0,
THAISAT-119.5E (119.5E),,,2170.0,2200.0,
THAISAT-51E (51E),,,2170.0,2200.0,
THAISAT-142E (142E),,,2170.0,2200.0,
THAIIOT (NGSO),,,2200.0,2290.0,
RTAFSAT (NGSO),,,2200.0,2290.0,
NAPA-2 (NGSO),,,2200.0,2290.0,
LOGSATS (NGSO),,,2200.0,2290.0,
THEOS (NGSO),,,2210.6,2211.4,
THEOS2-SMALLSAT (NGSO),,,2236.631,2236.701,
THEOS2 (NGSO),,,2244.108,2244.348,
THAISAT-78.5E (78.5E),,,2483.5,2520.0,
THAISAT-119.5E (119.5E),,,2483.5,2520.0,
THAICOM-51E (51E),,,2483.5,2520.0,
THAISAT-142E (142E),,,2483.5,2520.0,
THAISAT-51E (51E),,,2520.0,2690.0,
THAISAT-78.5E (78.5E),,,2670.0,2690.0,
THAISAT-119.5E (119.5E),,,2670.0,2690.0,
THAISAT-142E (142E),,,2670.0,2690.0,
THAICOM-N1 (50.5E),,,3400.0,4200.0,
THAISAT-78.5E (78.5E),,,3400.0,4200.0,
THAICOM-N2 (78.5E),,,3400.0,4200.0,
THAICOM-Q2 (78.5E),,,3400.0,4200.0,
THAISAT-119.5E (119.5E),,,3400.0,3500.0,
THAICOM-51E (51E),,,3400.0,3400.0,
THAISAT-126E (126E),,,3400.0,4200.0,
THAISAT-142E (142E),,,3400.0,4200.0,
THAISAT-120E (120E),,,3400.0,4200.0,
THAICOM-A2B (78.5E),,,3402.0,4178.0,
THAICOM-A3B (120E),,,3407.0,4178.0,
THAISAT-119.5E (119.5E),,,3500.0,4200.0,
THAICOM-N3 (120E),,,3600.0,4200.0,
THAICOM-C1 (50.5E),,,3625.0,4199.0,
THAICOM-A2 (78.5E),,,3702.0,4178.0,
THAICOM-A3 (120E),,,3702.0,4178.0,
THAICOM-A3B (120E),,,4197.795,4197.945,
THAICOM-A3B (120E),,,4198.225,4198.375,
THAICOM-N1 (50.5E),,,5850.0,6725.0,
THAISAT-78.5E (78.5E),,,5850.0,6725.0,
THAICOM-N2 (78.5E),,,5850.0,6725.0,
THAICOM-Q2 (78.5E),,,5850.0,6725.0,
THAICOM-N3 (120E),,,5850.0,6425.0,
THAICOM-51E (51E),,,5850.0,6725.0,
THAISAT-126E (126E),,,5850.0,6725.0,
THAISAT-120E (120E),,,5850.0,6725.0,
THAICOM-C1 (50.5E),,,5850.05,5850.95,
THAICOM-C1 (50.5E),,,5887.0,6725.0,
THAICOM-A2 (78.5E),,,5925.0,6403.0,
THAICOM-A2B (78.5E),,,5927.0,6403.0,
THAICOM-A3 (120E),,,5927.0,6403.0,
THAICOM-A3B (120E),,,5927.0,6403.0,
THAISAT-119.5E (119.5E),,,6405.0,6445.0,
THAISAT-142E (142E),,,6405.0,6445.0,
THAICOM-A3B (120E),,,6407.0,6723.0,
THAICOM-P3 (119.5E),,,6425.0,6725.0,
THAISAT-119.5E (119.5E),,,6475.0,6725.0,
THAISAT-142E (142E),,,6475.0,6585.0,
THAISAT-142E (142E),,,6625.0,6725.0,
THAISAT-78.5E (78.5E),,,7250.0,7750.0,
THAISAT-119.5E (119.5E),,,7250.0,7750.0,
THAICOM-51E (51E),,,7250.0,7750.0,
THAISAT-126E (126E),,,7250.0,7375.0,
THAISAT-142E (142E),,,7250.0,7375.0,
THAISAT-120E (120E),,,7250.0,7375.0,
THAISAT-142E (142E),,,7375.0,7750.0,
THAISAT-78.5E (78.5E),,,7900.0,8400.0,
THAISAT-119.5E (119.5E),,,7900.0,8400.0,
THAISAT-51E (51E),,,7900.0,8400.0,
THAISAT-126E (126E),,,7900.0,8400.0,
THAISAT-142E (142E),,,7900.0,8400.0,
THAISAT-120E (120E),,,7900.0,8400.0,
THEOS2 (NGSO),,,8025.0,8275.0,
THEOS (NGSO),,,8080.0,8200.0,
THEOS2-SMALLSAT (NGSO),,,8135.0,8265.0,
TSC-P (NGSO),,,8215.0,8400.0,
THAICOM-N1 (50.5E),,,10950.0,11200.0,
THAISAT-78.5E (78.5E),,,10950.0,11200.0,
THAICOM-N2 (78.5E),,,10950.0,11200.0,
THAICOM-Q2 (78.5E),,,10950.0,11200.0,
THAICOM-IP1 (119.5E),,,10950.0,11200.0,
THAICOM-P3 (119.5E),,,10950.0,11200.0,
THAISAT-119.5E (119.5E),,,10950.0,11200.0,
THAICOM-51E (51E),,,10950.0,11200.0,
THAISAT-126E (126E),,,10950.0,11200.0,
THAISAT-142E (142E),,,10950.0,11200.0,
THAISAT-120E (120E),,,10950.0,11200.0,
THAICOM-A2B (78.5E),,,10951.0,11198.0,
THAICOM-A3B (120E),,,10951.0,11198.0,
